,aNWP,aNSW,rSL,avWLiC,avWpS,aSN,SC,avNSyl,WV2,FRE,aNShort,language,.,!,?,",",-,of,is,the,class
0,3075,0.40195121951219515,143.58333333333334,4.504065040650406,25.625,120,1.3599999999999999,1.4026016260162602,0.35089430894308943,62.27548577235774,0.025040650406504064,10,0.5243055555555556,0.010416666666666666,0.013888888888888888,0.2361111111111111,0.2152777777777778,0.023089430894308944,0.0175609756097561,0.06211382113821138,1
1,1381,0.391020999275887,250.0,4.506154960173787,44.54838709677419,31,10.707596253902187,1.4214337436640117,0.4344677769732078,41.496060124734306,0.0065170166545981175,10,0.25170068027210885,0.006802721088435374,0.06802721088435375,0.47619047619047616,0.19727891156462585,0.028240405503258507,0.015206372194062274,0.03548153511947864,2
2,1192,0.4110738255033557,162.53658536585365,4.473154362416107,29.073170731707318,41,4.966686496133254,1.3976510067114094,0.43708053691275167,59.20823702733673,0.009228187919463088,10,0.35537190082644626,0.01652892561983471,0.008264462809917356,0.5702479338842975,0.049586776859504134,0.03271812080536913,0.015939597315436243,0.04697986577181208,1
3,1300,0.41307692307692306,202.74285714285713,4.373846153846154,37.142857142857146,35,4.0,1.3815384615384616,0.4130769230769231,52.45984615384616,0.018461538461538463,10,0.42857142857142855,0.0,0.02040816326530612,0.5102040816326531,0.04081632653061224,0.02,0.018461538461538463,0.03307692307692308,1
4,3152,0.38166243654822335,116.96774193548387,4.682106598984771,20.335483870967742,155,1.418397502601457,1.4679568527918783,0.3743654822335025,62.13630186671034,0.011104060913705584,10,0.6026058631921825,0.0,0.009771986970684038,0.36156351791530944,0.026058631921824105,0.02728426395939086,0.014911167512690355,0.056472081218274114,2
5,2446,0.3695829926410466,98.93706293706293,4.677023712183156,17.104895104895103,143,1.4169397036529905,1.4243663123466885,0.3949304987735078,69.05731626917647,0.017170891251022075,10,0.5409836065573771,0.009836065573770493,0.04262295081967213,0.3114754098360656,0.09508196721311475,0.019215044971381847,0.01839738348323794,0.046197874080130825,1
6,2376,0.35942760942760943,137.3177570093458,5.05050505050505,22.214953271028037,107,4.401869158878505,1.5837542087542087,0.42213804713804715,50.405562163693034,0.013468013468013467,10,0.40498442367601245,0.003115264797507788,0.021806853582554516,0.48909657320872274,0.08099688473520249,0.03745791245791246,0.008838383838383838,0.054292929292929296,1
7,2559,0.39351309105119187,127.26495726495726,4.6557248925361465,21.871794871794872,117,5.7558623712469865,1.4501758499413833,0.35130910511918717,62.01097779581369,0.02422821414615084,10,0.31840796019900497,0.0,0.02736318407960199,0.48756218905472637,0.16666666666666666,0.021101992966002344,0.01797577178585385,0.0625244236029699,1
8,3180,0.3776729559748428,115.66459627329192,4.7176100628930815,19.751552795031056,161,2.578025539138151,1.4937106918238994,0.3528301886792453,60.47598851517638,0.018238993710691823,10,0.44938271604938274,0.009876543209876543,0.02962962962962963,0.4074074074074074,0.1037037037037037,0.01981132075471698,0.01981132075471698,0.04182389937106918,2
9,2418,0.39081885856079407,128.9245283018868,4.5657568238213395,22.81132075471698,106,2.3330366678533285,1.4156327543424319,0.3531844499586435,64.11048785055482,0.01943755169561621,10,0.4708171206225681,0.0,0.027237354085603113,0.3968871595330739,0.10505836575875487,0.02109181141439206,0.015715467328370553,0.06451612903225806,2
